SYMBOL,AVG,
INDSWFTLAB,5.3166804,
INDSWFTLTD,5.4333415,
INDTERRAIN,4.9500012,
INDUSINDBK,9.683316,
INEOSSTYRO,27.416656,
INFIBEAM,11.533333,
INFOBEAN,11.149991,
INFRABEES,2.799998,
INFRATEL,4.9533286,
INFY,6.733332,
INGERRAND,9.016666,
INNOVANA,6.0166574,
INOXLEISUR,3.0833359,
INOXWIND,2.666668,
INSECTICID,18.24999,
INSPIRISYS,17.50001,
INTEGRA,10.916667,
INTELLECT,1.8166656,
INTENTECH,7.499996,
INVENTURE,31.41665,
IOB,1.2333332,
IOC,3.2833312,
IOLCP,3.5999982,
IPCALAB,11.216675,
IRB,5.716665,
IRBINVIT,17.946657,
IRCON,14.950015,
IRCTC,23.713343,
IREDA,16.516663,
IREDA,20.549986,
IRFC,0.39999995,
IRFC,2.7666473,
IRFC,3.6500041,
IRFC,1.1666666,
IRFC,28.246672,
IRFC,3.3833332,
IRFC,4.91333,
IRFC,2.8033447,
IRFC,8.67334,
ISEC,5.566668,
ISFT,8.9833355,
ISMTLTD,3.4333344,
ITC,2.8166668,
ITDC,4.433331,
ITDCEM,5.650003,
ITI,3.2000008,
IVC,0.7333329,
IVP,1.3500005,
IVZINNIFTY,3.1499977,
IZMO,13.566667,
J&KBANK,12.266665,
JAGRAN,1.066669,
JAGSNPHARM,1.600001,
JAIBALAJI,6.9166718,
JAICORPLTD,1.8000002,
JAKHARIA,3.2333305,
JALAN,19.66665,
JAMNAAUTO,0.31666693,
JASH,3.3333342,
JAYAGROGN,1.5833324,
JAYBARMARU,3.083332,
JAYNECOIND,5.233333,
JAYSREETEA,4.2166657,
JBCHEPHARM,12.2,
JBFIND,3.0166667,
JBMA,6.0833335,
JCHAC,24.316666,
JETAIRWAYS,3.866668,
JHS,0.39999995,
JIKIND,2.6666667,
JINDALPHOT,25.816698,
JINDALPOLY,12.883331,
JINDALSAW,2.9166632,
JINDALSTEL,8.133329,
JINDCOT,1.4666654,
JINDRILL,8.166669,
JINDWORLD,3.4499981,
JISLDVREQS,4.1999965,
JISLJALEQS,1.8833348,
JITFINFRA,3.0166657,
JIYAECO,3.95,
JKCEMENT,11.533349,
JKIL,1.1333324,
JKLAKSHMI,7.5499997,
JKPAPER,1.6,
JKTYRE,11.766667,
JMA,3.1833293,
JMCPROJECT,6.683333,
JMFINANCIL,11.916664,
JMTAUTOLTD,6.1499977,
JOCIL,2.2333333,
JPASSOCIAT,2.4666662,
JPINFRATEC,14.700004,
JPOLYINVST,28.133348,
JPPOWER,2.633333,
JSL,1.3166661,
JSLHISAR,2.2499979,
JSWENERGY,10.300014,
JSWHL,51.933334,
JSWSTEEL,4.616671,
JSWSTEEL,2.050002,
JTEKTINDIA,37.750008,
JUBILANT,14.183345,
JUBLFOOD,23.28335,
JUBLINDS,6.8833337,
JUMPNET,6.933329,
JUNIORBEES,26.41665,
JUSTDIAL,8.466668,
JVLAGRO,1.733334,
JYOTHYLAB,12.360011,
KABRAEXTRU,9.4166765,
KAJARIACER,5.200012,
KAKATCEM,8.150001,
KALPATPOWR,3.6500032,
KALYANIFRG,15.700002,
KAMATHOTEL,8.366668,
KAMDHENU,8.7,
KANANIIND,15.083332,
KANORICHEM,8.733334,
KANSAINER,3.0333328,
KARDA,7.033324,
KARMAENG,1.3666658,
KARURVYSYA,17.450016,
KAUSHALYA,7.35,
